CRM_Transaction_IDs,Transaction_Amount,Addon_Value,Date,Wallet_Operator,Size,Quatity,Total_Kgs,Device_ID,UID-Connected,isNFT,isBetterCooking,Repossesed_Device_IDs,isClaimed
3029549002,130.00,130.00,5/27/22,MTN,30,1,30,0,820092326,No,No,820092326,No
MP220527.1546.L31243,130.00,130.00,5/27/22,Airtel,30,1,30,,,No,No,820091556,No
MP220527.1601.J24347,130.00,130.00,5/27/22,Airtel,30,1,30,,,No,No,820091965,No
MP220527.1630.H27585,130.00,130.00,5/27/22,Airtel,30,1,30,310023153,820091503,Yes,No,820091503,Yes
MP220527.1633.G26172,130.00,130.00,5/27/22,Airtel,30,1,30,,,No,No,820091395,No
MP220527.1659.L36349,130.00,130.00,5/27/22,Airtel,30,1,30,,,No,No,820092452,Yes
MP220527.1725.I28044,130.00,130.00,5/27/22,Airtel,30,1,30,310019810,820092325,Yes,No,820092325,Yes
MP220527.1750.K30651,130.00,130.00,5/27/22,Airtel,30,1,30,310009945,820091792,Yes,No,820091792,Yes
MP220527.1753.L40545,130.00,130.00,5/27/22,Airtel,30,1,30,310009945,820091792,Yes,No,820091792,Yes
MP220527.1804.I30494,130.00,130.00,5/27/22,Airtel,30,1,30,310014932,820092039,Yes,No,820092039,Yes
MP220528.0956.J62214,60.00,60.00,5/28/22,Airtel,20,1,20,,820050730,Yes,No,,Yes
MP220528.1505.J78799,130.00,130.00,5/28/22,Airtel,30,1,30,820092453,,No,No,820092453,No
MP220528.1509.H80783,130.00,130.00,5/28/22,Airtel,30,1,30,310022093,820092110,Yes,No,820092110,Yes
3032223948,130.00,130.00,5/28/22,MTN,30,1,30,310023074,820091862,Yes,No,820091862,Yes
MP220528.1557.H83823,130.00,130.00,5/28/22,Airtel,30,1,30,,,No,No,820092321,No
3036403624,130.00,130.00,5/30/22,MTN,30,1,30,,,No,No,820091943,No
3036424833,130.00,130.00,5/30/22,MTN,30,1,30,,,No,No,820092387,No
MP220530.1251.L35291,130.00,130.00,5/30/22,Airtel,30,1,30,0,820091397,No,No,820091397,
MP220530.1257.H90340,130.00,130.00,5/30/22,Airtel,30,1,30,310025200,820092324,Yes,No,820092324,Yes
MP220530.1553.K89804,130.00,130.00,5/30/22,Airtel,30,1,30,,,No,No,820092132,
3039116475,130.00,130.00,5/31/22,MTN,30,1,30,310020782,820092380,No,No,820092380,No
3039169953,20.00,20.00,5/31/22,MTN,5,1,5,,820050625,Yes,No,,Yes
MP220531.1242.G45550,130.00,130.00,5/31/22,Airtel,30,1,30,310021225,820092455,Yes,No,820092455,
3039283817,130.00,130.00,5/31/22,MTN,30,1,30,,,No,No,820092386,No
3039307090,130.00,130.00,5/31/22,MTN,30,1,30,,,No,No,820091850,No
3039339347,130.00,130.00,5/31/22,MTN,30,1,30,,,No,No,820091463,No
MP220531.1543.I47759,130.00,130.00,5/31/22,Airtel,30,1,30,310029182,820091391,Yes,No,820091391,
MP220531.1557.J43180,130.00,130.00,5/31/22,Airtel,30,1,30,,,No,No,820092452,
MP220531.1602.G55557,260.00,260.00,5/31/22,Airtel,30,2,60,310000727,820091445,Yes,No,820091445,
MP220531.1638.K50121,130.00,130.00,5/31/22,Airtel,30,1,30,,,No,No,820091546,
MP220601.0755.I85290,130.00,130.00,6/1/22,Airtel,30,1,30,310023283,820091940,Yes,No,820091940,Yes
MP220601.0947.L56569,130.00,130.00,6/1/22,Airtel,30,1,30,,820050691,Yes,No,,Yes
MP220601.0955.G02060,130.00,130.00,6/1/22,Airtel,30,1,30,,820050691,Yes,No,,Yes
3041501298,130.00,130.00,6/1/22,MTN,30,1,30,310035031,820050461,Yes,No,820050461,Yes
MP220601.1020.J89582,130.00,130.00,6/1/22,Airtel,30,1,30,310022421,820092442,Yes,No,820092442,Yes
3041922800,130.00,130.00,6/1/22,MTN,30,1,30,310002352,820092457,Yes,No,820092435,Yes
3042177736,130.00,130.00,6/1/22,MTN,30,1,30,31000332,820091854,No,No,820091854,No
3042242277,130.00,130.00,6/1/22,MTN,30,1,30,310021816,820092322,Yes,No,820092322,Yes
3042257903,130.00,130.00,6/1/22,MTN,30,1,30,310017236,820092337,Yes,No,820092337,Yes
3042273494,130.00,130.00,6/1/22,MTN,30,1,30,,,No,No,820091449,No
MP220601.1509.I14464,130.00,130.00,6/1/22,Airtel,30,1,30,310017368,820092111,No,No,820092111,No
MP220601.1516.H22459,130.00,130.00,6/1/22,Airtel,30,1,30,,,No,No,820091393,No
MP220601.1659.G28600,130.00,130.00,6/1/22,Airtel,30,1,30,310030514,820092115,Yes,No,820092115,Yes
MP220601.1706.H30376,130.00,130.00,6/1/22,Airtel,30,1,30,310030514,820092115,Yes,No,820092115,Yes
MP220601.1712.H30901,130.00,130.00,6/1/22,Airtel,30,1,30,310018384,820091461,No,No,820091461,No
MP220601.1716.L88977,130.00,130.00,6/1/22,Airtel,30,1,30,,,No,No,820092133,No
3042972018,130.00,130.00,6/1/22,MTN,30,1,30,0,820092032,No,No,820092032,No
3043011418,130.00,130.00,6/1/22,MTN,30,1,30,310016884,820091961,No,No,820091961,No
3044090624,130.00,130.00,6/2/22,MTN,30,1,30,,,No,No,820091947,No
3046633480,130.00,130.00,6/3/22,MTN,30,1,30,310016957,820091858,Yes,No,820091858,Yes
3046670484,130.00,130.00,6/3/22,MTN,30,1,30,310017019,820091475,Yes,No,820091475,Yes
MP220603.1357.G47729,91.00,91.00,6/3/22,Airtel,30,1,30,310001581,820091857,No,No,820091857,No
MP220603.1520.J48708,130.00,130.00,6/3/22,Airtel,30,1,30,310017478,820091794,Yes,No,820091794,Yes
MP220605.1045.L33334,130.00,130.00,6/5/22,Airtel,30,1,30,,820050425,Yes,No,,Yes
3053381063,130.00,130.00,6/6/22,MTN,30,1,30,,,No,No,820091859,No
MP220606.0614.I05544,130.00,130.00,6/6/22,Airtel,30,1,30,,820050433,Yes,No,,Yes
3053414065,130.00,130.00,6/6/22,MTN,30,1,30,,,No,No,820091394,No
3053437753,130.00,130.00,6/6/22,MTN,30,1,30,310013456,820091465,Yes,No,820091465,
3053453423,130.00,130.00,6/6/22,MTN,30,1,30,310032589,820050636,Yes,No,820050636,Yes
3053519782,130.00,130.00,6/6/22,MTN,30,1,30,,820046856,Yes,No,,Yes
3053540728,130.00,130.00,6/6/22,MTN,30,1,30,,820050466,Yes,No,,Yes
